,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT
,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT
,20.5672,36.9043,49.8813,60.1893,68.3772,74.8811,80.0474,84.1511,87.4107,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,99.8741,99.9,99.9206,99.9369,99.9499,99.9602,99.9684,99.9749,99.98,99.9842,99.9874,99.99,99.9921,99.9937,99.995,99.996,99.9968,99.9975,99.998,99.9984,99.9987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,509.232332314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.67764410575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.224645276813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0663452943469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0278180513059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0190080815631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.016840953866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
